run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues,vectime,vecvalue
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,configname,PureAlohaExperiment,,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,datetime,20170627-20:42:17,,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,experiment,PureAlohaExperiment,,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,iterationvars,"numHosts=10, iaMean=5",,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,iterationvarsf,"numHosts=10,iaMean=5-",,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,measurement,"numHosts=10, iaMean=5",,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,network,Aloha,,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,processid,22740,,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,repetition,0,,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,replication,#0,,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,resultdir,results,,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,runnumber,8,,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,runattr,,,seedset,8,,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,itervar,,,iaMean,5,,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,itervar,,,numHosts,10,,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,param,,,Aloha.numHosts,10,,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,param,,,Aloha.host[*].iaTime,exponential(5s),,,,,,,,,,,
PureAlohaExperiment-8-20170627-20:42:17-22740,param,,,Aloha.numHosts,20,,,,,,,,,,,
